Name,Category,Day,NrOfSegments(Russ),NrOfBranchingPoints(Russ),NrOfLoops,NrOfLoopsNormalised,NrOfLoops/Segment,NrOfLoops/SegmentNormalised,NrOfLoopsI1,NrOfLoopsI2,NrOfLoopsI3,NrOfLoopsI4,NrOfLoopsI5,NrOfLoopsI1Normalised,NrOfLoopsI2Normalised,NrOfLoopsI3Normalised,NrOfLoopsI4Normalised,NrOfLoopsI5Normalised,NrOfLoopsI1/Segment,NrOfLoopsI2/Segment,NrOfLoopsI3/Segment,NrOfLoopsI4/Segment,NrOfLoopsI5/Segment,NrOfLoopsI1Normalised/Segment,NrOfLoopsI2Normalised/Segment,NrOfLoopsI3Normalised/Segment,NrOfLoopsI4Normalised/Segment,NrOfLoopsI5Normalised/Segment,NrOfShortBars,NrOfShortBars/Segment,NrOfShortBarsNormalised,NrOfShortBars/SegmentNormalised,MedianPersistenceDim2,MedianPersistenceDim2Normalised,Radius1000,Radius,RadiusNormalised,CountNormalised,AvgDiameterNormalised,MaxDiameterNormalised,AvgLengthNormalised,MaxLengthNormalised,AvgClrNormalised,AvgSOAMNormalised,LengthDiamRatioNormalised,NrOfSegments(Russ)Normalised,NrOfBranchingPoints(Russ)Normalised
34_2A,Control,0,1654,1727,97,1,0.058645707,1,11,55,25,2,4,1,1,,,,0.0809,0.0652,0.0403,0.0021,0.0058,1,1,1,1,1,1081,0.6536,1,1,0.874,1,3.0082,3008.2,1,1,1,1,1,1,1,1,1,1,1
34_2A,Control,1,2346,2388,133,1.371134021,0.056692242,0.966690401,18,42,47,21,5,1.636363636,0.763636364,1.88,10.5,1.25,0.0659,0.0397,0.0431,0.0171,0.0045,0.814585909,0.608895706,1.069478908,8.142857143,0.775862069,1430,0.6095,1.322849214,0.9326,0.91,1.041189931,2.7738,2773.8,0.922079649,1.618208517,1.008138188,1.066230901,1.065809271,1.215791796,0.986016869,0.964964234,1.057205534,1.418379686,1.382744644
34_2A,Control,2,2632,2705,151,1.556701031,0.057370821,0.978261222,21,57,56,15,2,1.909090909,1.036363636,2.24,7.5,0.5,0.1014,0.0666,0.0456,0.0115,0.0015,1.253399258,1.021472393,1.131513648,5.476190476,0.25862069,1550,0.5889,1.433857539,0.9011,0.82,0.938215103,3.2562,3256.2,1.082441327,1.665198238,0.967210241,1.116716694,1.024360054,1.091454491,1.013799464,0.940808284,1.05908727,1.591293833,1.566299942
34_2A,Control,3,5481,5460,390,4.020618557,0.071154899,1.213301069,63,123,139,48,17,5.727272727,2.236363636,5.56,24,4.25,0.1394,0.0919,0.0563,0.0183,0.006,1.723114957,1.409509202,1.397022333,8.714285714,1.034482759,2537,0.4629,2.346901018,0.7082,0.78,0.892448513,3.454,3454,1.148194934,3.927312775,1.017362174,1.503689144,1.088543283,1.266367083,1.026811351,0.917226238,1.069966341,3.313784764,3.161551824
34_2A,Control,4,6652,6628,466,4.804123711,0.070054119,1.194531068,60,107,128,146,25,5.454545455,1.945454545,5.12,73,6.25,0.1567,0.0895,0.0623,0.0451,0.0081,1.936959209,1.372699387,1.545905707,21.47619048,1.396551724,2407,0.3618,2.226641998,0.5535,0.5775,0.660755149,4.1301,4130.1,1.372947277,5.237885463,1.069632177,1.666748516,1.107520518,1.107269801,1.059096231,0.897248265,1.035421841,4.021765417,3.837869137
18_4E,Control,0,432,587,8,1,0.018518519,0.396873948,2,2,3,0,1,1,1,1,NA,1,0.0408,0.0131,0.0138,0,0.0041,1,1,1,NA,1,272,0.6296,1,1,0.7,1,2.3227,2322.7,1,1,1,1,1,1,1,1,1,1,1
18_4E,Control,1,646,863,13,1.625,0.020123839,0.43127787,2,4,5,2,0,1,2,1.666666667,NA,0,0.0227,0.0194,0.0159,0.0063,0,0.556372549,1.480916031,1.152173913,NA,0,408,0.6316,1.5,1.0031,0.76,1.085714286,2.7122,2712.2,1.167692771,1.49537037,1.126729579,1.223612559,1.034164366,1.215969006,1.029297615,1.042953122,0.917846115,1.49537037,1.470187394
18_4E,Control,2,2336,2517,109,13.625,0.046660959,1,13,12,24,40,20,6.5,6,8,NA,20,0.0387,0.0117,0.0191,0.0372,0.0159,0.948529412,0.893129771,1.384057971,NA,3.87804878,1317,0.5638,4.841911765,0.8954,0.8,1.142857143,4.1365,4136.5,1.780901537,5.407407407,1.217618949,3.617214902,0.948230785,1.156977573,1.04658709,1.00435608,0.778758236,5.407407407,4.2879046
18_4E,Control,3,2081,2075,129,16.125,0.061989428,1.328507372,12,30,30,40,17,6,15,10,NA,17,0.0816,0.0592,0.035,0.035,0.0181,2,4.519083969,2.536231884,NA,4.414634146,1539,0.7395,5.658088235,1.1746,0.85,1.214285714,2.7203,2720.3,1.171180092,4.81712963,1.360432549,2.01433274,1.015123909,1.651069978,1.021444809,1.014440196,0.746177317,4.81712963,3.534923339
18_4E,Control,4,7643,7391,556,69.5,0.072746304,1.559040053,55,113,163,187,38,27.5,56.5,54.33333333,NA,38,0.0569,0.0382,0.0385,0.0549,0.009,1.394607843,2.916030534,2.789855072,NA,2.195121951,3349,0.4382,12.3125,0.6959,0.82,1.171428571,5.0336,5033.6,2.167133078,17.69212963,1.290942495,3.482359142,0.972793751,1.608277462,1.036752517,0.994586484,0.753553124,17.69212963,12.5911414
18_4I,Control,0,2322,2840,87,1,0.0374677,1,5,6,26,46,4,1,1,1,1,1,0.1,0.0174,0.0306,0.0421,0.0037,1,1,1,1,1,1106,0.4763,1,1,0.92,1,3.6014,3601.4,1,1,1,1,1,1,1,1,1,1,1
18_4I,Control,1,2424,2966,79,0.908045977,0.032590759,0.869836126,20,22,12,10,15,0.090909091,0.053097345,0.159509202,0.245989305,0.105263158,0.1258,0.0316,0.014,0.0074,0.0139,1.258,1.816091954,0.45751634,0.175771971,3.756756757,1132,0.467,1.023508137,0.9804,0.803,0.872826087,3.5075,3507.5,0.973926806,0.904834412,1.120329704,1.104109604,1.03946638,0.961567871,0.978161428,1.027759941,0.927821851,1.043927649,1.044366197
18_4I,Control,2,2473,2878,70,0.804597701,0.028305702,0.755469431,15,17,11,24,3,0.363636364,0.194690265,0.073619632,0.053475936,0.394736842,0.0694,0.027,0.009,0.0218,0.0022,0.694,1.551724138,0.294117647,0.517814727,0.594594595,1245,0.5034,1.125678119,1.0569,0.82,0.891304348,3.7663,3766.3,1.045787749,0.883897982,0.972336468,1.063808243,1.051308979,1.665263605,1.003118782,0.971619123,1.081219324,1.065030146,1.013380282
18_4I,Control,3,2537,2803,136,1.563218391,0.053606622,1.430742266,19,45,49,19,4,0.272727273,0.150442478,0.067484663,0.128342246,0.078947368,0.1377,0.0717,0.0475,0.016,0.003,1.377,4.120689655,1.552287582,0.380047506,0.810810811,1316,0.5187,1.189873418,1.089,0.86,0.934782609,4.1117,4111.7,1.141694896,0.792158356,1.265544714,1.025499657,1.165675035,1.39444214,0.987489243,0.960195477,0.921085618,1.092592593,0.986971831
18_4I,Control,4,4593,4802,291,3.344827586,0.063357283,1.690984048,24,73,85,75,34,0.345454545,0.398230088,0.300613497,0.101604278,0.105263158,0.1137,0.0897,0.054,0.0347,0.0144,1.137,5.155172414,1.764705882,0.824228029,3.891891892,1788,0.3893,1.616636528,0.8173,0.68,0.739130435,4.193,4193,1.164269451,0.922725542,0.970505477,0.812387325,1.166303885,1.247635936,1.037016173,0.915450923,1.201748895,1.978036176,1.69084507
24_2C,Control,0,4002,3982,270,1,0.067466267,1,19,115,113,20,3,1,1,1,1,1,0.0905,0.0879,0.0529,0.0109,0.0014,1,1,1,1,1,2326,0.5812,1,1,0.72,1,3.7336,3733.6,1,1,1,1,1,1,1,1,1,1,1
