Name,Category,Day,NrOfSegments(Russ),NrOfBranchingPoints(Russ),NrOfSegments(Roche),NrOfBranchingPoints(Roche),Volume(Roche),VitalVolume(Roche),NecrorticVolume(Roche),NrOfLoops,NrOfLoops/Segment,NrOfLoopsI1,NrOfLoopsI2,NrOfLoopsI3,NrOfLoopsI4,NrOfLoopsI5,NrOfLoopsI1/Segment,NrOfLoopsI2/Segment,NrOfLoopsI3/Segment,NrOfLoopsI4/Segment,NrOfLoopsI5/Segment,NrOfShortBars,NrOfShortBars/Segment,MedianPersistenceDim2,Radius
201,Treated,1,35006,25982,27477,14232,22.1692,21.8912,0.278,10116,0.288979032,529,1992,2844,3430,1321,0.2656,0.2651,0.2841,0.299,0.3286,5558,0.158772782,0.0127,645.806
202,Treated,1,40317,29258,30142,15696,23.226,23,0.226,12043,0.298707741,440,1676,3128,4578,2221,0.2487,0.2607,0.2975,0.3164,0.3112,6368,0.15794826,0.012,641.1165
203,Treated,1,54742,40439,42328,22034,35.2064,32.3526,2.8538,15923,0.290873552,526,2506,4266,6589,2036,0.2633,0.2647,0.275,0.3153,0.2964,8317,0.151930876,0.0124,763.7442
204,Treated,1,43776,31673,32529,16890,28.0757,26.7719,1.3038,13074,0.298656798,766,2722,4316,4185,1085,0.2737,0.2573,0.2854,0.3376,0.3769,6314,0.144234284,0.012,721.3704
205,Treated,1,21845,15868,17196,9216,12.8526,12.8383,0.0143,6433,0.294483864,232,1286,1816,1700,1399,0.2064,0.2766,0.2946,0.2797,0.3655,3953,0.180956741,0.012,605.707
401,Treated,3,30648,22859,25131,13175,23.8434,23.6113,0.232,8546,0.278843644,500,1601,2840,2181,1424,0.2468,0.2463,0.2749,0.2876,0.3382,5271,0.171985121,0.013,784.2629
402,Treated,3,29891,22676,24278,12722,24.9873,23.5412,1.4461,8135,0.272155498,298,1627,2329,2497,1384,0.2082,0.2503,0.2693,0.2747,0.3278,5254,0.175771971,0.0132,643.8183
403,Treated,3,54251,40523,41602,20881,41.3092,37.8425,3.4667,15501,0.285727452,1022,2056,3395,5853,3175,0.2587,0.2353,0.231,0.304,0.417,8520,0.157047796,0.013,782.3381
404,Treated,3,24117,17558,19513,10260,21.4358,20.3617,1.0741,6971,0.289049218,243,1136,1978,2765,849,0.2337,0.232,0.2491,0.3435,0.3877,4154,0.172243646,0.013,648.3026
703,Treated,7,16701,12907,14813,7587,14.7317,14.6678,0.0639,4396,0.263217771,103,674,1084,1532,1003,0.1859,0.235,0.2404,0.2618,0.3438,3485,0.20867014,0.014,575.6401
